number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
87,0.5313144763261299,2026-05-11 02:44:48.091250,2026-05-11 02:44:49.525976,0 days 00:00:01.434726,0.7725144253566318,0.5032880513368212,0.03835423739127376,2,39,150,14.273832470075709,32.84462892857346,1.238185559134538,0.7683141115345016,PRUNED
88,0.5285551331234225,2026-05-11 02:44:49.526978,2026-05-11 02:44:51.122004,0 days 00:00:01.595026,0.7655328155976584,0.9442653469343204,0.03700421952667511,2,42,112,9.548690853206017,36.23095492234988,1.2549804738081054,0.7848736376365839,PRUNED
89,0.5346123331772493,2026-05-11 02:44:51.123003,2026-05-11 02:44:53.219007,0 days 00:00:02.096004,0.7827472656507881,0.8057638316440705,0.0373591522133282,2,39,120,4.318305198721604,42.535961552693195,1.2438685293168867,0.7692222951759122,COMPLETE
90,0.5260348965257486,2026-05-11 02:44:53.220522,2026-05-11 02:44:54.683245,0 days 00:00:01.462723,0.5550566913752044,0.615823667244775,0.03750127859389271,2,39,122,4.351200376203054,45.42905297657492,1.2267578577191476,0.7741306215088856,PRUNED
91,0.5286716290640712,2026-05-11 02:44:54.685244,2026-05-11 02:44:56.821630,0 days 00:00:02.136386,0.7799005207419207,0.8145644124660909,0.03388257429900268,2,40,119,4.2459061523100985,40.56510449012189,1.2423103010345313,0.7595500259138893,COMPLETE
92,0.5314326893281968,2026-05-11 02:44:56.822642,2026-05-11 02:44:58.762030,0 days 00:00:01.939388,0.7836765672696477,1.1702831009394346,0.04154997770866096,2,38,136,4.700657428123245,49.63043700957468,1.2635614889930513,0.799547808773521,COMPLETE
93,0.5308692291485382,2026-05-11 02:44:58.763030,2026-05-11 02:45:00.183301,0 days 00:00:01.420271,0.7948213687666481,0.7338685240607647,0.03594233270246918,2,41,109,4.125166249901581,45.87123929157499,1.1873699761052592,0.7761225616287963,PRUNED
94,0.5312048253654503,2026-05-11 02:45:00.184303,2026-05-11 02:45:01.601430,0 days 00:00:01.417127,0.7733567120085616,0.8495420873091143,0.0316704332675044,2,42,131,4.510782796867557,47.78832977034034,1.223747388369781,0.7584229144975229,PRUNED
95,0.5320267440740035,2026-05-11 02:45:01.602427,2026-05-11 02:45:03.614299,0 days 00:00:02.011872,0.5700902001277179,1.0090262763881532,0.04054099547376376,2,43,127,4.880203807712838,19.204685249571142,1.2847562121664786,0.7393009400526023,COMPLETE
96,0.5286575062381594,2026-05-11 02:45:03.615300,2026-05-11 02:45:05.160147,0 days 00:00:01.544847,0.6015593816202334,1.0972094884983556,0.03907719091781467,2,43,125,5.083075548923842,43.82817059752358,1.2760867900896455,0.7466053422676066,PRUNED
97,0.5264643319280846,2026-05-11 02:45:05.162158,2026-05-11 02:45:06.420998,0 days 00:00:01.258840,0.6347083651494128,1.3488297223201242,0.040462873214066775,2,36,131,5.469951968982375,44.363778065108704,1.2864132951712413,0.7519609307791121,PRUNED
98,0.5307703647319242,2026-05-11 02:45:06.422000,2026-05-11 02:45:07.601290,0 days 00:00:01.179290,0.5851125603484404,1.0165965560187902,0.037241185324357814,2,35,114,4.808019048303746,46.46394279796338,1.2820764860405498,0.7418360886323618,PRUNED
99,0.530745141166213,2026-05-11 02:45:07.603299,2026-05-11 02:45:08.826020,0 days 00:00:01.222721,0.6948318036222388,1.255112044655504,0.03803744459110078,2,44,117,4.439095221945432,19.17992251707628,1.2577498242361227,0.76806970896363,PRUNED
