number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
69,0.5804311774461028,2026-05-10 20:34:06.015648,2026-05-10 20:34:06.419821,0 days 00:00:00.404173,0.8827742762130785,4.828394293170353,0.01779919431695088,7,7,309,4.736321632558883,4.212102031955258,0.9689041147102444,COMPLETE
70,0.5861513687600645,2026-05-10 20:34:06.419821,2026-05-10 20:34:06.998498,0 days 00:00:00.578677,0.8919069943456163,1.690560275677265,0.013409387463763762,6,6,350,3.9152899843941746,4.533076063530641,0.9988163416527129,COMPLETE
71,0.5899053627760252,2026-05-10 20:34:06.998498,2026-05-10 20:34:07.577078,0 days 00:00:00.578580,0.8568135282549298,1.8917942688804303,0.018386710213724636,6,7,434,4.660273658055194,5.515332538907247,0.954554273505983,COMPLETE
72,0.593192868719611,2026-05-10 20:34:07.577078,2026-05-10 20:34:08.213292,0 days 00:00:00.636214,0.9097988386083163,1.4189682529319851,0.01591224693879375,6,7,386,5.574814808716566,4.726732941054996,0.9652169371074119,COMPLETE
73,0.5902192242833052,2026-05-10 20:34:08.213292,2026-05-10 20:34:08.781596,0 days 00:00:00.568304,0.9088050501798387,1.37989321357609,0.02140152875964924,7,7,388,6.624402461833921,4.725852524832281,0.9778699566609116,COMPLETE
74,0.5899513776337115,2026-05-10 20:34:08.781596,2026-05-10 20:34:09.622214,0 days 00:00:00.840618,0.9269035712300847,0.7639060751364364,0.01629636958650716,6,6,304,5.507061384729279,6.284456724007771,0.9648055750713794,COMPLETE
75,0.5919732441471572,2026-05-10 20:34:09.622214,2026-05-10 20:34:10.266136,0 days 00:00:00.643922,0.8932528701596155,1.59220427046843,0.01975400468418748,7,5,496,3.464996087535855,5.110355424113637,0.9925466685413666,COMPLETE
76,0.5872193436960277,2026-05-10 20:34:10.266136,2026-05-10 20:34:10.817511,0 days 00:00:00.551375,0.9405979672754129,1.9056359969325087,0.013312865897273865,6,7,351,4.29350161874142,3.149507134235794,0.9807563566303673,COMPLETE
77,0.5803108808290155,2026-05-10 20:34:10.817511,2026-05-10 20:34:11.618513,0 days 00:00:00.801002,0.9025030674903848,1.1742652621543679,0.015083563589983825,8,6,402,6.134543960000764,4.09877995277594,0.7025511213698368,COMPLETE
78,0.594059405940594,2026-05-10 20:34:11.618513,2026-05-10 20:34:12.035122,0 days 00:00:00.416609,0.9136748736023848,2.4174667822620943,0.03825713630506703,7,7,448,4.559402727705872,6.67813341267381,0.9368997324104722,COMPLETE
79,0.5668662674650699,2026-05-10 20:34:12.035122,2026-05-10 20:34:12.830464,0 days 00:00:00.795342,0.9204945046318944,0.4023622313724311,0.03922141819729308,6,6,447,4.498027003121417,5.757866676311615,0.7843807146665205,COMPLETE
80,0.5977011494252874,2026-05-10 20:34:12.830464,2026-05-10 20:34:13.276515,0 days 00:00:00.446051,0.8832757153723435,2.405803244614193,0.02743954598406719,7,7,376,2.9800872655696113,6.737401130667252,0.9897100083943253,COMPLETE
81,0.5906040268456376,2026-05-10 20:34:13.276515,2026-05-10 20:34:13.712349,0 days 00:00:00.435834,0.9119862036872722,2.466386522110449,0.027047511076751865,7,7,367,2.119570293760278,6.5890742713025405,0.9883916317503606,COMPLETE
82,0.5927152317880795,2026-05-10 20:34:13.713359,2026-05-10 20:34:14.210507,0 days 00:00:00.497148,0.8860375359547434,1.7303317537072698,0.02274480784191371,7,7,329,2.852378728514325,3.723121528952493,0.970687731293467,COMPLETE
83,0.589018302828619,2026-05-10 20:34:14.210507,2026-05-10 20:34:14.612854,0 days 00:00:00.402347,0.8755941011011498,2.331903822637762,0.033076562217499744,6,6,481,3.8113440866793726,6.893243486427212,0.9999928775978758,COMPLETE
84,0.5901116427432217,2026-05-10 20:34:14.612854,2026-05-10 20:34:15.147995,0 days 00:00:00.535141,0.8981701619345415,2.1117846288850717,0.016660256667886196,5,7,448,0.5030220002374439,4.557814722285876,0.9616697882510534,COMPLETE
85,0.5960912052117264,2026-05-10 20:34:15.148996,2026-05-10 20:34:15.535022,0 days 00:00:00.386026,0.885833020249848,1.2086084660636571,0.05251207121745899,6,8,416,4.969777577434141,5.942515992904579,0.9904662046572913,COMPLETE
86,0.5897435897435898,2026-05-10 20:34:15.535022,2026-05-10 20:34:16.261775,0 days 00:00:00.726753,0.8614486696130531,1.2006020037053131,0.055473579952344525,7,8,1489,4.031178776994385,6.1066313442106965,0.9887557371008142,COMPLETE
87,0.5753424657534246,2026-05-10 20:34:16.261775,2026-05-10 20:34:16.748740,0 days 00:00:00.486965,0.8869682097493498,0.9940114586143669,0.04891752213740138,8,8,418,1.315453735133265,7.139083048106199,0.9793787379510207,COMPLETE
88,0.5967741935483871,2026-05-10 20:34:16.748740,2026-05-10 20:34:17.131974,0 days 00:00:00.383234,0.8804021628787443,2.822582445472543,0.03629114846285632,7,6,337,4.912231559401121,6.676077512941914,0.9912700739646352,COMPLETE
89,0.5863708399366085,2026-05-10 20:34:17.131974,2026-05-10 20:34:17.533622,0 days 00:00:00.401648,0.8409968670293851,3.1131060857250503,0.03527808551968951,6,5,515,3.2601019665527486,6.4432156495365875,0.9946150377499694,COMPLETE
90,0.5934426229508196,2026-05-10 20:34:17.533622,2026-05-10 20:34:17.917708,0 days 00:00:00.384086,0.8767873105656476,2.978919810736685,0.029140107082191034,7,7,330,4.613834097744577,7.441060795193336,0.9499566341592611,COMPLETE
91,0.5957446808510638,2026-05-10 20:34:17.917708,2026-05-10 20:34:18.322354,0 days 00:00:00.404646,0.8770678980198366,2.839578525262697,0.029000587361853177,7,7,326,4.881605389959464,7.436937104537423,0.9506742075685477,COMPLETE
92,0.5818759936406995,2026-05-10 20:34:18.322354,2026-05-10 20:34:18.664146,0 days 00:00:00.341792,0.8524923737564034,3.3569450883498906,0.0385940668686883,7,7,302,4.889075527006612,5.7667734943441165,0.9741583701861303,COMPLETE
93,0.5868852459016394,2026-05-10 20:34:18.664146,2026-05-10 20:34:19.107125,0 days 00:00:00.442979,0.8992788885317332,2.821920123936553,0.026091411886243778,6,6,413,5.278173601579934,6.681154067780309,0.8276939034634218,COMPLETE
94,0.5882352941176471,2026-05-10 20:34:19.108126,2026-05-10 20:34:19.448336,0 days 00:00:00.340210,0.8643016823979397,2.753541230404287,0.04241428264849988,7,8,343,4.185645918101458,7.280572546766097,0.9929057509840595,COMPLETE
95,0.5922330097087378,2026-05-10 20:34:19.448336,2026-05-10 20:34:20.241269,0 days 00:00:00.792933,0.871359775950348,2.4824374544311802,0.024409259538908035,6,6,1433,3.6465296471309445,6.096124477916371,0.9360925244952453,COMPLETE
96,0.5911330049261084,2026-05-10 20:34:20.241269,2026-05-10 20:34:20.627619,0 days 00:00:00.386350,0.880697227062043,3.008777259904839,0.03371732413140169,7,7,464,4.941390023350151,4.302951052264016,0.9256261226911536,COMPLETE
97,0.5874587458745875,2026-05-10 20:34:20.629138,2026-05-10 20:34:20.955779,0 days 00:00:00.326641,0.8915934362718406,2.335331316418826,0.036817745311042475,5,8,372,5.2793873232639505,5.258537744511779,0.9819862834088205,COMPLETE
98,0.5906902086677368,2026-05-10 20:34:20.955779,2026-05-10 20:34:21.359202,0 days 00:00:00.403423,0.9244352567292413,2.563297755674844,0.02110818117300454,7,7,325,6.408150084372895,7.624578823639875,0.9444775393846248,COMPLETE
99,0.5957446808510638,2026-05-10 20:34:21.359752,2026-05-10 20:34:21.757960,0 days 00:00:00.398208,0.91644628103626,2.4146158778941103,0.028780218590257083,5,5,422,5.920382442997708,6.833299572963511,0.9696761934445584,COMPLETE
